numb,year,description_short,description_long,count
,980,Присоединение дреговичей,"В течение IX – X столетий все восточные славяне, а также ряд финноязычных народов, обитавших на Восточноевропейской равнине, были объединены под единой княжеской властью, под главенством одной династии, варяжской (скандинавской) по происхождению (т.н. династия Рюриковичей).",2
,980,Условная дата экспансии власти Рюриковичей на левый берег р. Западный Буг,"В 1563 г. власть в сибирском ханстве захватил чингисид Кучум, который сразу прекратил прежние вассальные отношения с Россией. Окончательно захватив Сибирское ханство, Кучум согласился в 1571 г. на вассальную зависимость и выплату ясака Москве. Однако уже в 1573 г. он разорвал даннические отношения с Москвой. Его племянник Маметкул и сын Алей, пользуясь трудностями Москвы, связанными с Ливонской войной, подошли к Перми и вторглись во владения Строгановых. Это вызвало попытку ногайских татар отделиться от Москвы и черемисский бунт. В ответ организуется в сентябре 1581 г. поход Ермака в Сибирь. 1 октября 1581 г. Кучум выдержал натиск Ермака под Чувашской горой, но 26 октября был разбит Ермаком на правом берегу Иртыша у Чувашского мыса. Ермак беспрепятственно вступил в Искер, столицу Сибири. Сибирское ханство было разгромлено.",1
,981,присоединение волынян и белых хорватов,"В 1554 г. астраханский хан Дервиш-Али признал себя вассалом московского царя. Одновременно астраханский хан вел переговоры о союзе с Крымом, надеясь с его помощью противостоять Москве. Узнав об этом, московские власти отправили на юг войска. В 1556 г. при приближении к Астрахани русских полков Дервиш-Али бежал. Астрахань сдалась без боя. Все владения Астраханского ханства, включая часть Башкирии и Прикаспийские районы до нижнего течения реки Яик (ныне река Урал), вошли в состав России.",1
,983,Покорение балто-литовского племени ятвягов. Присоединение их земель открыло путь к Балтийскому морю,"Предводители башкирских племен были пожалованы в тарханы и князья, а некоторые произведены в старосты. Приведены примерные границы обитания башкир в XVII веке.

Перевод «копии с копии» жалованной грамоты Ивана IV башкирам 4-х южных родов:
«Великий наш шах и царь Иван Васильевич Грозный начиная с 1547 г. приходил вместе с русским войском [досл. обществом] брать город Казань; после многих сражений при татарском хане Ядкаре 2 октября 1552 г. [Иван Грозный] окончательно взял [город] в свои руки. И так же, как [сделали] в городе Казани, сделали в юртах. После этого башкиры четырех племен, [которые живут] к востоку от Казани, послали к этому царю Ивану одинаково знатных людей. Он сам желал их прибытия, из них: 1-й от родов Усерган князь Бикбау; 2-й от рода Бурзян князь Искэ-бий; 3-й от рода Кыпчак князь Мешвали Каракузяк; 4-й из Тамьяна князь Шагали Шакман.
Эти четыре бия, прибыв в город Казань, стали известными Ивану Грозному. Башкир [досл. башкирское общество] приняли [в русское подданство] с [условием] верной службы [царю]; после принятия в подданство [царь], оказав милость, наградил их самих [т. е. послов] тарханским званием; [затем] обратились с нижайшей просьбой отмерить [башкирам] ихние земли, воды и выдать им [на владение этими землями] грамоту. По их [т. е. башкирских послов] просьбе, он, великий царь Иван Грозный, своим указом [повелел] эти земли отмерить, то есть определить их границы. Для этого в Ногайскую и Сибирскую дороги направил повелительные письма; опираясь на эти письма, народ ете ырыу, то есть “семи родов”, посоветовавшись [между собой] и согласившись [друг с другом], решили земли, которыми владели их рода, как то степи и леса, разделить. И в 1564 г. согласились [платить] ясак — положенный Грозным ясак [состоял] из лошадей, и куниц, и лисиц, и разного другого ясака, — который, посоветовавшись, разделили [между собой].
О [границах] некоторых отмеренных земель ниже рассказывается. Сначала [земли] по течению реки Яик, нижняя граница от Сарымсака, верхняя граница до Бузсавыла, по рекам Кизил, Сакмара и Зилаир от истоков до устья и с горами, и по рекам Ачили, Учкалик, и двум Сурэмам от истоков до устья и с горами, и [далее] с верховья Саелмыша, с верховья рек Аяк, Мену, от брода [реки] Кираузэ, от реки Мену до Одинокой ивы, и через Ногайский брод от Иртубека до вершины Уксэр, и от истока Сулака, от леса [досл. лиственницы] Уткэш, горы Миазак, верховий Калмака и Башазилар с горами и водами, и от поля Айин луг, от истоков Элэмсэта, от горы Алти Тура [на берегу] Сакмары до вершины Лаембирде и от брода реки Таналык вместе с камышами, от Тюбы, небольшой горы, вниз по реке Четум — [все эти] земли стали владениями башкир родов Тунгэк и Усерган.
Затем [земли]: нижняя граница — от упомянутого Сарымсака, три [реки] Узени, до горы в степной стороне, три реки Чезми и Кэмэлек от истоков до устьев со всеми горами, верхняя граница — до глубокого озера, например [озеро] Дурткуль, все эти земли стали “особенным” владением рода Бурзян.
У Усерган с Бикбау-князем, у Тамьян с Шагали Шакман-князем, у Бурзян с Искэби-князем, у Кыпчак с Мешавле Каракузяк князем, у всех родов были [родовые] земельные владения. Те земли, которые, посоветовавшись и отмерив, отделили, в упомянутом городе Казани закрепили в книге.
Если при уплате известного лисьего ясака, лис не могли добыть, то рассчитывались медью, от десяти копеек, пятидесяти копеек и до 55 копеек. Подтверждая это, великий царь вместе со знатными приближенными руки приложили».

<a href=""http://vatandash.ru/?article=1505"" target=""_blank"">Жалованные грамоты Ивана Грозного башкирам</a><br />",2
,985,Вовлечение в орбиту Русского государства муромы после похода Владимира Святославича на булгар,,2
,988,Корсунский поход князя Владимира Святославича,"Придя к власти, Владимир поначалу попытался реформировать язычество, создав общерусский пантеон богов во главе с Перуном. Но затем он пришел к решению о принятии христианства. В 988 г. Владимир договорился с византийским императором Василием II и его братом и соправителем Константином VIII о помощи им против мятежника Варды Фоки в обмен на выдачу за русского князя замуж сестры императоров Анны. Условием брака было крещение Владимира. Императоры не торопились выполнить договоренность, и тогда Владимир взял Корсунь (Херсонес) – центр крымских владений Византии. После этого Анна была прислана к нему, и князь принял крещение. По возвращении на Русь было осуществлено крещение киевлян и затем началось утверждение новой веры по всей Руси. Была создана русская церковная организация во главе с митрополитом, подчинявшаяся константинопольской патриархии. ",1
,1015,Постепенное расширение зоны влияния киевских князей Условно соотнесено с годом смерти великого князя Владимира Святославича,,1
,1018,Захват Червенских городов Польшей,"В 981 году Владимир Святославич в результате своего похода на Польшу присоединил их к Руси. В 1018 году Святополк возвратил их Болеславу I в благодарность за его поход на Киев и помощь в захвате власти киевского престола, однако в 1031 году они были возвращены в результате похода Ярослава Мудрого на Польшу.",1
,1030,Основание города Юрьева,"Относился к опорным городам-крепостям Поросской оборонительной линии, заложенным Ярославом Мудрым в 1032 году. Их задачей была защита южного порубежья государства от набегов степных кочевников. Согласно летописям, Ярослав Мудрый поселил в Поросье много пленных ляхов, приведённых из польского похода. ",2
,1031,Возврат червенских городов от Польши,"В 981 году Владимир Святославич в результате своего похода на Польшу присоединил их к Руси. В 1018 году Святополк возвратил их Болеславу I в благодарность за его поход на Киев и помощь в захвате власти киевского престола, однако в 1031 году они были возвращены в результате похода Ярослава Мудрого на Польшу.",2
,1032,Строительство Ярославом Мудрым системы укреплений на р. Рось,"Поросская оборонная линия — цепочка сторожевых крепостей по реке Рось, основанных в эпоху Древнерусского государства для защиты от набегов степных кочевников. К таким крепостям относились Белая Церковь (Юрьев), Торческ, Володарев, Дверен, Корсунь, Богуславль, Ростовец, Бакожин, Родень и другие.
Основной период строительства оборонных городов пришёлся на 1030-е годы, когда Ярослав Мудрый начал селить в приграничном Поросье пленных поляков. Часть населения поросских городов составляли чёрные клобуки, состоявшие в ленной зависимости от киевских князей и участвовавшие в обороне русских земель.
Кроме военно-феодальных крепостей, южные рубежи укреплялись валами — грандиозными земляными насыпями и рвами, которые простирались вдоль левого берега Роси и Раставицы. Остатки вала, который составляет приблизительно 75 км, сохранились возле Ягнятина и Фурсово. В древнерусские времена эти валы имели вид деревянно-земляных стен высотой до 3,5 м и шириной 6-7 м. Перед ними выкапывались рвы шириной 5-6 м и глубиной 1,5-2 м.",2
,1042,Первый конный поход новгородцев под предводительством князя Владимира Ярославовича на емь привел к рсширению зоны даней Новгорода,,2
,1044,"Начало правления Всеслава Брячиславича, единственного представителяь полоцкой ветви Рюриковичей на киевском великокняжеском престоле (1068—1069)","Царский указ об основании Воронежа не сохранился. Сохранилась лишь выдержка из этого указа, в которой не называется дата основания Воронежа и которая помещена в распоряжении боярина Н. Р. Юрьева о реорганизации сторожевой службы на южной окраине России от 1 марта 1586 г.
Распоряжение боярина Н.Р. Юрьева о реорганизации сторожевой службы на южной окраине России:
1 марта 1586 г.
«И 94-го году марта в 1 день боярин Никита Романович Юрьев сей росписи слушал и приговорил: на Осколе усть Убли и на Дону на Богатом затоне стоялым головам не стояти. По государеву цареву и великого князя Федора Ивановича всея Руси и указу и по приговору бояр князя Федора Ивановича Мстиславского с товарыщи на Сосне, не доезжая Оскола два днища, поставить велено город Ливны, а на Дону на Воронеже, не доезжая Богатово затону два днища, велено поставить город Воронеж. А быти на Ливнах и город ставити воеводе князю Володимеру Васильевичю Кольцову-Мосальскому да Лукьяну Хрущеву, на Воронеже – воеводе Семену Федоровичу Сабурову, да Ивану Судакову, да Василью Биркину. И каковы будут вести на Ливнах про приход воинских людей на государевы украйны, и с Ливен посылати с вестьми на Воронеж, а с Воронежа по тому ж на Ливны с вестьми посылати. А ехати которыми дорогами поближе и бережнее, а сторожи воеводам поставити, присмотря в которых местех пригоже, и станицы по тому ж посылати присмотря. Да о том же отписати к государю. И воеводы с Воронежа и с Ливен к государю писали и сторожевые росписи прислали. А куды с Ливен на Воронеж и с Воронежа на Ливны для вестей и станицы посылати к которым урочищем не прислали...»",2
,1054,Расширение зоны влияния киевских князей на запад условно соотнесено с разделом Руси между сыновьями великого князя Ярослава Мудрого,"В августе 1586 г. в Москву приехал князь Лугуй, представлявший шесть городков (Куноват, Илчма, Ляпин, Мункос, Юил и Сумгут-ваш), к царю Федору Ивановичу с изъявлением своей покорности и просьбой не трогать его городков. За это Лугуй обязывался платить ежегодную дань. 
Его поездка была вызвана, по всей видимости, строительством в 1585 г. Обского (Мансуровского) городка напротив устья Иртыша.
После определения размера ясака князь получил грамоту, подтверждающую его достоинство и статус. Царь удовлетворил просьбу ляпинского князя. В августе 1586 г. Лугуй получил грамоту, подтверждавшую его княжеское достоинство и определявшую размер ежегодной дани: семь сороков соболей «лутчих» с его владений и семь соболей с его семьи.",2
,1054,С обособлением Суздальской земли условно связано расширение зоны древнерусской колонизации на восток,,1
,1094,Обособление Черниговской земли,"В процессе разделения средневековой Руси на фактически самостоятельные земли, территория Черниговской и Муромской земель c конца XII в. стала независимой от Киева и в 1097 гг. была закреплена Любецким съездом князей за Святославичами (внуками Ярослава Мудрого по линии его сына Святослава Ярославича) - Давыдом и Олегом Святославичами. 1127 годом можно датировать окончательное обособление Черниговской земли. ",2
,1094,Последнее упоминание Тмутаракани,Киев в 1094 году теряет контроль над городом. Тмутаракань переходит под управление Византийской империи и получает новое название – Таматарха. ,2
,1094,Последнее упоминание Тмутаракани,Киев в 1094 году теряет контроль над городом. Тмутаракань переходит под управление Византийской империи и получает новое название – Таматарха. ,2
,1108,Обособление Суздальской земли,В процессе разделения средневековой Руси на фактически самостоятельные земли Суздальская земля выросла из волости с центром в Ростове. В 1108 году началось княжение в Суздале Юрия Долгорукого.,2
,1117,Разорение Белой Вежи половцами. Уход территории из-под власти Рюриковичей,,1
,1127,Выделение Муромо-Рязанской земли из Черниговской,"В процессе разделения средневековой Руси на фактически самостоятельные земли территория Черниговской и Муромской  земель c конца XII в. стала независимой от Киева и в 1097 гг. была закреплена Любецким съездом князей за Святославичами (внуками Ярослава Мудрого по линии его сына Святослава Ярославича) - Давыдом и Олегом Святославичами. 1127 годом можно датировать окончательное обособление Черниговской земли. В этом году произошло разделение владений потомков Святослава Ярославича на Черниговскую и Муромскую земли. В Черниговской земле княжили потомки Олега Святославича (Ольговичи), а в Муроме – Ярослав Святославич (внук Ярослава Мудрого, изгнанный племянником Всеволодом Ольговичем из Чернигова) и его потомки.",1
,1127,Выделение Муромо-Рязанской земли из Черниговской,"В процессе разделения средневековой Руси на фактически самостоятельные земли территория Черниговской и Муромской  земель c конца XII в. стала независимой от Киева и в 1097 гг. была закреплена Любецким съездом князей за Святославичами (внуками Ярослава Мудрого по линии его сына Святослава Ярославича) - Давыдом и Олегом Святославичами. 1127 годом можно датировать окончательное обособление Черниговской земли. В этом году произошло разделение владений потомков Святослава Ярославича на Черниговскую и Муромскую земли. В Черниговской земле княжили потомки Олега Святославича (Ольговичи), а в Муроме – Ярослав Святославич (внук Ярослава Мудрого, изгнанный племянником Всеволодом Ольговичем из Чернигова) и его потомки.",1
,1127,Выделение Муромо-Рязанской земли из Черниговской,"В процессе разделения средневековой Руси на фактически самостоятельные земли территория Черниговской и Муромской  земель c конца XII в. стала независимой от Киева и в 1097 гг. была закреплена Любецким съездом князей за Святославичами (внуками Ярослава Мудрого по линии его сына Святослава Ярославича) - Давыдом и Олегом Святославичами. 1127 годом можно датировать окончательное обособление Черниговской земли. В этом году произошло разделение владений потомков Святослава Ярославича на Черниговскую и Муромскую земли. В Черниговской земле княжили потомки Олега Святославича (Ольговичи), а в Муроме – Ярослав Святославич (внук Ярослава Мудрого, изгнанный племянником Всеволодом Ольговичем из Чернигова) и его потомки.",1
,1127,Примерная дата передачи Посемья Всеволодом Ольговичем Мстиславу Владимировичу в Киевскую землю из состава Черниговской земли,"Столбовский мирный договор – договор между Россией и Швецией, положивший конец русско-шведской войне 1613–1617 гг., был подписан 27 февраля 1617 г. в селе Столбово.

По условиям договора Швеция возвращала России захваченные у нее во время Смуты земли: Новгород, Старую Руссу, Порхов, Ладогу, Гдов с уездами и Сумерскую волость. Россия, в свою очередь, передавала Швеции Ижорской землю с Иван-городом, Ямом, Копорьем, а также все Поневье и Орешек с уездом. За шведами оставался г. Корела с уездом. Сверх этого Россия должна была выплатить Швеции контрибуцию в размере 20 000 руб. серебром. Кроме того, Россия отказывалась от притязаний на Лифляндию, а русский царь должен был исключить из своего титула это название. Особой статьей оговаривались взаимный отказ от помощи Польши и необходимость заключения союза против нее.

Несмотря на значительные территориальные потери и денежную контрибуцию, Столбовский мирный договор в значительной степени снимал напряжение на северо-западных рубежах России и способствовал медленному восстановлению страны после Смуты. 

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=469520&SECTION_ID=8212"" target=""_blank"">Карта Финляндии с указанием границ России и Швеции в разное время по договорам, а также по картам генерального штаба, Гермелина, Лоттера, Аф-Кнорринга и друг.</a><br />",1
,1132,Обособление Смоленской земли. В 1132 г. после смерти Мстислава Великого Смоленская земля становится самостоятельной,"В процессе разделения средневековой Руси на фактически самостоятельные земли Смоленская земля стала независимой от Киева при внуке Владимира Мономаха князе Ростиславе Мстиславиче (вокняжился в Смоленске в 20-х гг. XII в., умер в 1167 г.) и закрепилась за его потомками - Ростиславичами. ",2
,1132,Обособление Киевской земли,"После разделения Руси на фактически самостоятельные земли Киев продолжал считаться столицей всей Руси, а киевский стол – «старейшим». На него были вправе претендовать князья из разных земель. При этом Киевская земля рассматривалась как коллективное достояние сильнейших князей, претендовавших (в случае невозможности занять собственно киевский стол) на владение «частями» в ее составе. 
В 1132 г., после смерти Мстислава Великого Киевская земля превращается в самостоятельную землю.
С конца XIII века Киев окончательно теряет свое значение, там княжат мелкие южнорусские князья. В 1362 г. Киев был захвачен великим князем литовским Ольгердом Гедиминовичем. 
",2
,1132,Обособление Полоцкой земли,"Полоцкая земля возникла в X в. на базе объединения полочан с центром в Полоцке. В конце X века Полоцкая волость была передана киевским князем Владимиром Святославичем своему сыну Изяславу и закрепилась за его потомками - Изяславичами, став в XII в. фактически независимой от Киева. В 1130 г. Мстислав Владимирович покорил Полоцк и выслал полоцких князей в Византию, но после 1132 г. они вернулись и княжили в Полоцкой земле еще более столетия. ",1
,1132,"Обособление Переяславской земли. В 1132 году, после смерти Мстислава Великого Переяславская волость превращается в самостоятельную","В процессе разделения средневековой Руси на фактически самостоятельные земли в XII в. происходит обособление Переяславской земли, которая становится независимой от Киева. На протяжении XII в. в ней княжили представители разных ветвей потомков Владимира Мономаха.
землю. ",1
,1132,Обособление Смоленской земли. В 1132 г. после смерти Мстислава Великого Смоленская земля становится самостоятельной,"В процессе разделения средневековой Руси на фактически самостоятельные земли Смоленская земля стала независимой от Киева при внуке Владимира Мономаха князе Ростиславе Мстиславиче (вокняжился в Смоленске в 20-х гг. XII в., умер в 1167 г.) и закрепилась за его потомками - Ростиславичами. ",1
,1132,"Обособление Переяславской земли. В 1132 году, после смерти Мстислава Великого Переяславская волость превращается в самостоятельную","В процессе разделения средневековой Руси на фактически самостоятельные земли в XII в. происходит обособление Переяславской земли, которая становится независимой от Киева. На протяжении XII в. в ней княжили представители разных ветвей потомков Владимира Мономаха.
землю. ",2
,1136,"Новгородское восстание, изгнание кн. Всеволода Мстиславича. Формальный момент, с которого начинается самостоятельное существование Новгородской земли",,2
,1140,Обособление Рязанской земли,"Рязанская земля возникла во второй половине XII в. в результате разделения Муромской земли (которая, в свою очередь, ранее обособилась от Черниговской). В 1127 году Ярослав Святославич (внук Ярослава Мудрого), изгнанный племянником Всеволодом Ольговичем из Чернигова, вокняжился в Муроме. В 1140-е гг. во владениях его потомков появился второй «стол» – в Рязани. ",1
,1141,Обособление Галицкой земли. В 1141 г. Владимирко Володаревич присоединил к своим владениям Галич после смерти своего двоюродного брата Ивана Васильковича и сделал его своей столицей.,В процессе разделения средневековой Руси на фактически самостоятельные земли в XII в. Галицкая земля сложилась из Перемышльской и Теребовльской волостей и стала независимой от Киева под властью потомков старшего внука Ярослава Мудрого Ростислава Владимировича (Ростиславичами). ,2
,1156,"Обособление Волынской земли. В 1156  г. Мстислав Изяславич изгнал из Владимира-Волынского своего дядю Владимира Мстиславича, после чего земля Волынская земля закрепилась за потомками Изяслава.","В процессе разделения средневековой Руси на фактически самостоятельные земли Волынская земля закрепилась в середине XII в. за потомками Изяслава Мстиславича, внука Владимира Мономаха, и стала независимой от Киева.",2
